cohort,exposure,method,ate,ate_lb,ate_ub,p_value_approx,p_adj_bonferroni,significant_bonferroni,p_adj_fdr,significant_fdr,significant_95,Consistency
Cohort_A,exercise,PSM,-0.0124,-0.0205,-0.0043,0.0026954221699249103,0.12129399764662097,0,0.03032349941165524,1,1,Inconsistent
Cohort_A,exercise,PSW,-0.0069,-0.0156,0.0017,0.11794250781083426,1.0,0,0.2653706425743771,0,0,Inconsistent
Cohort_A,exercise,XLearner,-0.0014,-0.0099,0.007,0.7453826057654334,1.0,0,0.8385554314861124,0,0,Inconsistent
Cohort_A,drinkev,PSM,0.0036,-0.0037,0.0108,0.33043334954169046,1.0,0,0.437338256746355,0,0,Consistent
Cohort_A,drinkev,PSW,-0.0022,-0.011,0.0065,0.6221539107304965,1.0,0,0.7566736752127661,0,0,Consistent
Cohort_A,drinkev,XLearner,-0.0056,-0.0145,0.0017,0.1753978908892173,1.0,0,0.2923298181486955,0,0,Consistent
Cohort_A,is_socially_isolated,PSM,-0.0556,-0.11,-0.0012,0.04515203901696818,1.0,0,0.16932014631363068,0,1,Inconsistent
Cohort_A,is_socially_isolated,PSW,0.0035,-0.0012,0.0082,0.14440706051120422,1.0,0,0.29537807831837226,0,0,Inconsistent
Cohort_A,is_socially_isolated,XLearner,0.0035,-0.0175,0.0321,0.7820773558255854,1.0,0,0.8379400240988414,0,0,Inconsistent
Cohort_A,bmi_normal,PSM,0.0018,-0.0054,0.009,0.6241338988347811,1.0,0,0.7391059328306618,0,0,Consistent
Cohort_A,bmi_normal,PSW,-0.0202,-0.041,0.0006,0.05698034775961336,1.0,0,0.18315111779875723,0,0,Consistent
Cohort_A,bmi_normal,XLearner,0.0019,-0.0065,0.0167,0.7481842593890824,1.0,0,0.8211778456709441,0,0,Consistent
Cohort_A,chronic_low,PSM,0.0374,0.0287,0.0461,0.0,0.0,1,0.0,1,1,Inconsistent
Cohort_A,chronic_low,PSW,-0.0099,-0.0155,-0.0044,0.00047190615085090926,0.021235776788290917,1,0.007078592262763639,1,1,Inconsistent
Cohort_A,chronic_low,XLearner,-0.0062,-0.0193,0.0021,0.2560817493291889,1.0,0,0.39736823171770697,0,0,Inconsistent
Cohort_B,exercise,PSM,-0.0194,-0.0423,0.0036,0.09755603965970816,1.0,0,0.2438900991492704,0,0,Inconsistent
Cohort_B,exercise,PSW,-0.0314,-0.056,-0.0069,0.012180070759483685,0.5481031841767658,0,0.10962063683535317,0,1,Inconsistent
Cohort_B,exercise,XLearner,-0.0212,-0.0416,0.0034,0.06478257592397907,1.0,0,0.19434772777193718,0,0,Inconsistent
Cohort_B,drinkev,PSM,0.0216,-0.0014,0.0446,0.06566617144515186,1.0,0,0.18468610718948958,0,0,Consistent
Cohort_B,drinkev,PSW,0.0175,-0.0078,0.0427,0.17433177035970893,1.0,0,0.3017280640841116,0,0,Consistent
Cohort_B,drinkev,XLearner,0.0205,-0.0117,0.0474,0.17391561129606048,1.0,0,0.31304810033290886,0,0,Consistent
Cohort_B,is_socially_isolated,PSM,-0.125,-0.2517,0.0017,0.05314981994715473,1.0,0,0.18398014597092024,0,0,Consistent
Cohort_B,is_socially_isolated,PSW,0.0078,-0.0079,0.0235,0.33017673046457263,1.0,0,0.45024099608805357,0,0,Consistent
Cohort_B,is_socially_isolated,XLearner,0.0015,-0.0459,0.0476,0.9498559290094339,1.0,0,0.9498559290094339,0,0,Consistent
Cohort_B,bmi_normal,PSM,-0.0015,-0.0222,0.0193,0.8873274436952543,1.0,0,0.9074939765065101,0,0,Consistent
Cohort_B,bmi_normal,PSW,-0.0211,-0.058,0.0159,0.26303681853704153,1.0,0,0.3945552278055623,0,0,Consistent
Cohort_B,bmi_normal,XLearner,0.0164,-0.009,0.0485,0.2635447109000979,1.0,0,0.38256490291949696,0,0,Consistent
Cohort_B,chronic_low,PSM,0.094,0.0615,0.1266,1.5118341911701805e-08,6.803253860265812e-07,1,3.401626930132906e-07,1,1,Inconsistent
Cohort_B,chronic_low,PSW,-0.0151,-0.0324,0.0022,0.08712700637705018,1.0,0,0.230630310998074,0,0,Inconsistent
Cohort_B,chronic_low,XLearner,-0.0123,-0.0298,0.0159,0.2914003062592365,1.0,0,0.40978168067705134,0,0,Inconsistent
Cohort_C,exercise,PSM,0.0368,0.0073,0.0662,0.01431866125059611,0.6443397562768249,0,0.10738995937947082,0,1,Inconsistent
Cohort_C,exercise,PSW,0.0217,-0.0085,0.052,0.15971921665174182,1.0,0,0.31249411953601663,0,0,Inconsistent
Cohort_C,exercise,XLearner,0.0347,0.0024,0.0586,0.015505324519136332,0.6977396033611349,0,0.09967708619444784,0,1,Inconsistent
Cohort_C,drinkev,PSM,0.0215,-0.0089,0.052,0.16638661278041544,1.0,0,0.31197489896327896,0,0,Consistent
Cohort_C,drinkev,PSW,0.026,-0.005,0.0571,0.10075096026403152,1.0,0,0.23862069536217992,0,0,Consistent
Cohort_C,drinkev,XLearner,0.0273,-0.007,0.0622,0.12199013737621911,1.0,0,0.26140743723475524,0,0,Consistent
Cohort_C,is_socially_isolated,PSM,0.0652,-0.0445,0.1749,0.2440503584886522,1.0,0,0.392223790428191,0,0,Inconsistent
Cohort_C,is_socially_isolated,PSW,0.0222,0.0014,0.0431,0.03689658949970931,1.0,0,0.15094059340790172,0,1,Inconsistent
Cohort_C,is_socially_isolated,XLearner,0.0081,-0.0492,0.068,0.7864514072927062,1.0,0,0.8230305425156228,0,0,Inconsistent
Cohort_C,bmi_normal,PSM,-0.0327,-0.0594,-0.006,0.01637495278767842,0.7368728754455289,0,0.09210910943069112,0,1,Inconsistent
Cohort_C,bmi_normal,PSW,-0.0087,-0.053,0.0357,0.7006175034399615,1.0,0,0.8084048116614941,0,0,Inconsistent
Cohort_C,bmi_normal,XLearner,0.0137,-0.0206,0.06,0.5052176212841262,1.0,0,0.6495655130795909,0,0,Inconsistent
Cohort_C,chronic_low,PSM,0.0128,-0.0309,0.0564,0.5654578685022928,1.0,0,0.7068223356278661,0,0,Inconsistent
Cohort_C,chronic_low,PSW,0.0265,0.0045,0.0484,0.01796750906276201,0.8085379078242905,0,0.08983754531381005,0,1,Inconsistent
Cohort_C,chronic_low,XLearner,0.0442,0.0034,0.0816,0.026715332700014693,1.0,0,0.12021899715006612,0,1,Inconsistent
